2025年御宿共同打ち上げ実験　AチームログSTART																				
経過時間	温度	気圧	高度	湿度	加速度x	加速度y	加速度z	重力x	重力y	重力z	温度	ジャイロ	加速度	地磁気	緯度	経度	高度	離床時間	解放信号出力時間	解放検出時間
2000年0月0日	0時0分0																			
12051	18.68	1029.66	-135.77	53.65	0.26	-0.56	9.44	0.52	-0.59	9.77	19	0	0	0	0	0	0	0	0	0
12101	18.67	1029.64	-135.6	53.59	0.38	-0.52	9.38	0.51	-0.61	9.77	19	0	0	0	0	0	0	0	0	0
12151	18.67	1029.64	-135.6	53.59	0.49	-0.63	9.47	0.51	-0.62	9.77	19	0	0	0	0	0	0	0	0	0
12201	18.65	1029.6	-135.27	53.66	0.49	-0.38	9.31	0.51	-0.64	9.77	19	0	0	0	0	0	0	0	0	0
12251	18.65	1029.6	-135.27	53.66	0.33	-0.58	9.33	0.52	-0.65	9.77	19	0	0	0	0	0	0	0	0	0
12301	18.67	1029.66	-135.7	53.59	0.48	-0.84	9.24	0.52	-0.66	9.76	19	0	0	0	0	0	0	0	0	0
12351	18.67	1029.66	-135.7	53.59	0.43	-0.67	9.33	0.53	-0.67	9.76	19	0	0	0	0	0	0	0	0	0
12401	18.76	1029.82	-137.04	53.59	0.37	-0.55	9.27	0.54	-0.69	9.76	19	0	0	0	0	0	0	0	0	0
12451	18.76	1029.82	-137.04	53.59	0.45	-0.51	9.25	0.54	-0.69	9.76	19	0	0	0	0	0	0	0	0	0
12501	18.74	1029.76	-136.59	53.71	0.44	-0.44	9.23	0.56	-0.7	9.76	19	0	0	0	0	0	0	0	0	0
12551	18.74	1029.76	-136.59	53.64	0.42	-0.6	9.28	0.56	-0.7	9.76	19	0	0	0	0	0	0	0	0	0
12601	18.73	1029.74	-136.4	53.64	0.66	-0.56	9.2	0.58	-0.71	9.76	19	0	0	0	0	0	0	0	0	0
12651	18.74	1029.76	-136.58	53.63	0.61	-0.63	9.2	0.59	-0.72	9.76	19	0	0	0	0	0	0	0	0	0
12701	18.74	1029.76	-136.58	53.63	0.66	-0.65	9.25	0.6	-0.72	9.76	19	0	0	0	0	0	0	0	0	0
12751	18.71	1029.71	-136.16	53.61	0.63	-0.52	9.29	0.61	-0.72	9.76	19	0	0	0	0	0	0	0	0	0
12801	18.71	1029.71	-136.16	53.61	0.64	-0.64	9.19	0.62	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
12851	18.68	1029.65	-135.65	53.56	0.61	-0.77	9.23	0.63	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
12901	18.68	1029.65	-135.65	53.56	0.59	-0.51	9.2	0.64	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
12951	18.67	1029.64	-135.58	53.59	0.6	-0.45	9.28	0.65	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
13001	18.67	1029.64	-135.58	53.59	0.67	-0.54	9.3	0.65	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
13051	18.72	1029.79	-136.82	53.61	0.63	-0.54	9.36	0.66	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
13101	18.72	1029.79	-136.82	53.61	0.59	-0.57	9.39	0.66	-0.72	9.75	19	0	0	0	0	0	0	0	0	0
13151	18.76	1029.87	-137.49	53.62	0.67	-0.57	9.34	0.66	-0.71	9.75	19	0	0	0	0	0	0	0	0	0
13201	18.76	1029.87	-137.49	53.62	0.73	-0.59	9.45	0.66	-0.7	9.75	19	0	0	0	0	0	0	0	0	0
13251	18.74	1029.84	-137.21	53.55	0.85	-0.51	9.49	0.66	-0.69	9.75	19	0	0	0	0	0	0	0	0	0
13301	18.74	1029.84	-137.21	53.55	0.68	-0.42	9.4	0.66	-0.68	9.75	19	0	0	0	0	0	0	0	0	0
13351	18.77	1029.87	-137.45	53.56	0.74	-0.58	9.49	0.66	-0.67	9.76	19	0	0	0	0	0	0	0	0	0
13401	18.77	1029.87	-137.45	53.56	0.87	-0.71	9.41	0.66	-0.66	9.76	19	0	0	0	0	0	0	0	0	0
13451	18.76	1029.84	-137.23	53.57	0.67	-0.72	9.4	0.65	-0.65	9.76	19	0	0	0	0	0	0	0	0	0
13501	18.76	1029.84	-137.23	53.57	0.77	-0.6	9.45	0.64	-0.63	9.76	19	0	0	0	0	0	0	0	0	0
13551	18.77	1029.87	-137.44	53.67	0.77	-0.68	9.63	0.63	-0.61	9.76	19	0	0	0	0	0	0	0	0	0
13601	18.77	1029.87	-137.44	53.67	0.61	-0.61	9.64	0.62	-0.6	9.76	19	0	0	0	0	0	0	0	0	0
13651	18.77	1029.82	-137.08	53.55	0.38	-0.61	9.65	0.61	-0.58	9.77	19	0	0	0	0	0	0	0	0	0
13701	18.77	1029.88	-136.43	53.63	0.6	-0.76	9.55	0.59	-0.56	9.77	19	0	0	0	0	0	0	0	0	0
13751	18.69	1029.74	-136.43	53.63	0.67	-0.7	9.58	0.58	-0.54	9.77	19	0	0	0	0	0	0	0	0	0
13801	18.67	1029.72	-136.2	53.61	0.51	-0.28	9.64	0.56	-0.52	9.77	19	0	0	0	0	0	0	0	0	0
13851	18.67	1029.72	-136.2	53.61	0.46	-0.14	9.61	0.55	-0.5	9.77	19	0	0	0	0	0	0	0	0	0
13901	18.66	1029.69	-135.99	53.61	0.51	-0.27	9.54	0.53	-0.48	9.78	19	0	0	0	0	0	0	0	0	0
13951	18.66	1029.69	-135.99	53.61	0.57	-0.5	9.59	0.51	-0.46	9.78	19	0	0	0	0	0	0	0	0	0
14001	18.67	1029.72	-136.26	53.62	0.55	-0.12	9.6	0.5	-0.44	9.78	19	0	0	0	0	0	0	0	0	0
14051	18.67	1029.72	-136.26	53.62	0.3	-0.12	9.6	0.48	-0.42	9.78	19	0	0	0	0	0	0	0	0	0
14101	18.69	1029.75	-136.48	53.63	0.46	-0.09	9.54	0.46	-0.4	9.78	19	0	0	0	0	0	0	0	0	0
14151	18.69	1029.75	-136.48	53.63	0.31	-0.04	9.58	0.45	-0.38	9.78	19	0	0	0	0	0	0	0	0	0
14201	18.71	1029.74	-136.39	53.62	0.34	-0.33	9.41	0.43	-0.36	9.78	19	0	0	0	0	0	0	0	0	0
14251	18.71	1029.74	-136.39	53.62	0.34	-0.29	9.44	0.42	-0.35	9.79	19	0	0	0	0	0	0	0	0	0
14301	18.72	1029.81	-136.99	53.65	0.32	-0.34	9.5	0.41	-0.33	9.79	19	0	0	0	0	0	0	0	0	0
14351	18.72	1029.81	-136.99	53.65	0.41	-0.3	9.47	0.4	-0.32	9.79	19	0	0	0	0	0	0	0	0	0
14401	18.73	1029.79	-136.82	53.66	0.44	-0.25	9.58	0.4	-0.32	9.79	19	0	0	0	0	0	0	0	0	0
14451	18.73	1029.79	-136.82	53.66	0.42	-0.33	9.53	0.4	-0.31	9.79	19	0	0	0	0	0	0	0	0	0
14501	18.77	1029.83	-137.12	53.56	0.38	-0.1	9.34	0.4	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14551	18.77	1029.83	-137.12	53.56	0.31	-0.37	9.36	0.4	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14601	18.68	1029.68	-135.9	53.55	0.28	-0.39	9.38	0.4	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14651	18.68	1029.68	-135.9	53.55	0.35	-0.27	9.38	0.4	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14701	18.67	1029.65	-135.67	53.52	0.45	-0.37	9.47	0.4	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14751	18.67	1029.65	-135.67	53.52	0.42	-0.43	9.29	0.41	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14801	18.66	1029.67	-135.81	53.59	0.43	-0.24	9.37	0.42	-0.3	9.79	19	0	0	0	0	0	0	0	0	0
14851	18.66	1029.67	-135.81	53.59	0.67	-0.46	9.18	0.43	-0.31	9.79	19	0	0	0	0	0	0	0	0	0
14901	18.65	1029.67	-135.84	53.61	0.65	-0.13	9.35	0.44	-0.32	9.79	19	0	0	0	0	0	0	0	0	0
14951	18.65	1029.67	-135.84	53.61	0.51	-0.56	9.41	0.46	-0.33	9.79	19	0	0	0	0	0	0	0	0	0
15001	18.69	1029.73	-136.32	53.59	0.83	-0.24	9.29	0.47	-0.34	9.78	19	0	0	0	0	0	0	0	0	0
15051	18.69	1029.73	-136.32	53.59	0.69	-0.4	9.25	0.48	-0.35	9.78	19	0	0	0	0	0	0	0	0	0
15101	18.69	1029.71	-136.18	53.63	0.74	-0.59	9.22	0.5	-0.37	9.78	19	0	0	0	0	0	0	0	0	0
15151	18.69	1029.71	-136.18	53.63	0.8	-0.3	9.15	0.51	-0.38	9.78	19	0	0	0	0	0	0	0	0	0
15201	18.77	1029.84	-137.22	53.61	0.51	-0.47	9.22	0.53	-0.4	9.78	19	0	0	0	0	0	0	0	0	0
15251	18.77	1029.78	-136.72	53.59	0.69	-0.38	9.31	0.54	-0.41	9.78	19	0	0	0	0	0	0	0	0	0
15301	18.75	1029.78	-136.72	53.59	0.71	-0.47	9.33	0.56	-0.43	9.78	19	0	0	0	0	0	0	0	0	0
15351	18.7	1029.7	-136.09	53.58	1.02	-0.39	9.27	0.58	-0.44	9.77	19	0	0	0	0	0	0	0	0	0
15401	18.7	1029.7	-136.09	53.58	0.79	-0.36	9.32	0.59	-0.46	9.77	19	0	0	0	0	0	0	0	0	0
15451	18.73	1029.73	-136.28	53.6	0.74	-0.45	9.4	0.6	-0.47	9.77	19	0	0	0	0	0	0	0	0	0
15501	18.73	1029.73	-136.28	53.6	0.76	-0.35	9.29	0.61	-0.48	9.77	19	0	0	0	0	0	0	0	0	0
15551	18.71	1029.7	-136.03	53.58	0.87	-0.55	9.15	0.61	-0.49	9.77	19	0	0	0	0	0	0	0	0	0
15601	18.71	1029.7	-136.03	53.58	0.87	-0.53	9.01	0.62	-0.5	9.77	19	0	0	0	0	0	0	0	0	0
15651	18.69	1029.67	-135.82	53.68	0.72	-0.55	9.51	0.63	-0.51	9.77	19	0	0	0	0	0	0	0	0	0
15701	18.69	1029.67	-135.82	53.68	0.73	-0.3	9.38	0.63	-0.52	9.77	19	0	0	0	0	0	0	0	0	0
15751	18.69	1029.67	-135.81	53.56	1.07	-0.26	9.41	0.64	-0.52	9.77	19	0	0	0	0	0	0	0	0	0
15801	18.69	1029.67	-135.81	53.56	0.62	-0.36	9.48	0.64	-0.52	9.77	19	0	0	0	0	0	0	0	0	0
15851	18.75	1029.84	-137.2	53.55	0.89	-0.44	9.36	0.65	-0.53	9.77	19	0	0	0	0	0	0	0	0	0
15901	18.75	1029.84	-137.2	53.55	0.73	-0.71	9.36	0.64	-0.54	9.77	19	0	0	0	0	0	0	0	0	0
15951	18.77	1029.84	-137.26	53.66	0.56	-0.51	9.26	0.63	-0.55	9.77	19	0	0	0	0	0	0	0	0	0
16001	18.77	1029.84	-137.26	53.66	0.79	-0.61	9.44	0.62	-0.56	9.77	19	0	0	0	0	0	0	0	0	0
16051	18.77	1029.89	-137.61	53.66	0.53	-0.6	9.45	0.61	-0.57	9.77	19	0	0	0	0	0	0	0	0	0
16101	18.77	1029.89	-137.61	53.66	0.92	-0.42	9.33	0.61	-0.57	9.77	19	0	0	0	0	0	0	0	0	0
16151	18.78	1029.87	-137.48	53.61	0.5	-0.6	9.44	0.6	-0.58	9.77	19	0	0	0	0	0	0	0	0	0
