timestamp,temperature,pressure,humidity,accel,latitude,longitude,altitude,liftoffTime,deployTime
719.656,27.78,1029.31,37.811,9.08,0.0,0.0,0.0,0.0,0.0
719.745,27.78,1029.287,37.879,9.16,0.0,0.0,0.0,0.0,0.0
719.912,27.76,1029.273,37.854,9.28,0.0,0.0,0.0,0.0,0.0
720.021,27.76,1029.265,37.843,9.37,0.0,0.0,0.0,0.0,0.0
720.107,27.74,1029.265,37.841,9.48,0.0,0.0,0.0,0.0,0.0
720.196,27.74,1029.254,37.841,9.61,0.0,0.0,0.0,0.0,0.0
720.35,27.74,1029.271,37.83,9.53,0.0,0.0,0.0,0.0,0.0
720.414,27.75,1029.256,37.797,9.7,0.0,0.0,0.0,0.0,0.0
720.551,27.78,1029.359,37.845,9.8,0.0,0.0,0.0,0.0,0.0
720.657,27.81,1029.358,37.858,9.63,0.0,0.0,0.0,0.0,0.0
720.945,27.8,1029.396,37.813,9.79,0.0,0.0,0.0,0.0,0.0
721.052,27.81,1029.348,37.744,9.79,0.0,0.0,0.0,0.0,0.0
721.164,27.72,1029.209,37.896,9.81,0.0,0.0,0.0,0.0,0.0
721.251,27.7,1029.194,37.827,9.81,0.0,0.0,0.0,0.0,0.0
721.412,27.71,1029.146,37.815,9.66,0.0,0.0,0.0,0.0,0.0
721.607,27.81,1029.353,37.733,9.62,0.0,0.0,0.0,0.0,0.0
721.714,27.81,1029.369,37.835,9.54,0.0,0.0,0.0,0.0,0.0
721.801,27.8,1029.315,37.823,9.41,0.0,0.0,0.0,0.0,0.0
721.917,27.79,1029.253,37.812,9.27,0.0,0.0,0.0,0.0,0.0
722.106,27.76,1029.213,37.774,9.03,0.0,0.0,0.0,0.0,0.0
722.359,27.76,1029.204,37.809,8.92,0.0,0.0,0.0,0.0,0.0
722.444,27.78,1029.271,37.867,8.92,0.0,0.0,0.0,0.0,0.0
722.567,27.79,1029.293,37.755,8.81,0.0,0.0,0.0,0.0,0.0
722.695,27.8,1029.267,37.79,8.99,0.0,0.0,0.0,0.0,0.0
722.859,27.82,1029.293,37.746,9.12,0.0,0.0,0.0,0.0,0.0
722.943,27.72,1029.135,37.919,9.05,0.0,0.0,0.0,0.0,0.0
723.107,27.83,1029.338,37.905,9.42,0.0,0.0,0.0,0.0,0.0
723.197,27.83,1029.322,37.791,9.44,0.0,0.0,0.0,0.0,0.0
723.323,27.74,1029.212,37.784,9.46,0.0,0.0,0.0,0.0,0.0
723.396,27.73,1029.208,37.783,9.62,0.0,0.0,0.0,0.0,0.0
723.503,27.72,1029.183,37.805,9.69,0.0,0.0,0.0,0.0,0.0
723.632,27.71,1029.196,37.816,9.82,0.0,0.0,0.0,0.0,0.0
723.695,27.72,1029.207,37.794,9.78,0.0,0.0,0.0,0.0,0.0
723.824,27.73,1029.223,37.795,9.81,0.0,0.0,0.0,0.0,0.0
723.944,27.75,1029.277,37.785,9.8,0.0,0.0,0.0,0.0,0.0
724.077,27.83,1029.365,37.803,9.82,0.0,0.0,0.0,0.0,0.0
724.145,27.78,1029.278,37.879,9.8,0.0,0.0,0.0,0.0,0.0
724.272,27.76,1029.252,37.876,9.79,0.0,0.0,0.0,0.0,0.0
724.364,27.77,1029.275,37.821,9.77,0.0,0.0,0.0,0.0,0.0
724.451,27.77,1029.268,37.821,9.75,0.0,0.0,0.0,0.0,0.0
724.623,27.74,1029.212,37.796,9.59,0.0,0.0,0.0,0.0,0.0
724.708,27.74,1029.198,37.762,9.58,0.0,0.0,0.0,0.0,0.0
724.818,27.81,1029.322,37.869,9.57,0.0,0.0,0.0,0.0,0.0
724.898,27.84,1029.395,37.77,9.48,0.0,0.0,0.0,0.0,0.0
725.08,27.84,1029.353,37.826,9.35,0.0,0.0,0.0,0.0,0.0
725.204,27.8,1029.259,37.767,9.34,0.0,0.0,0.0,0.0,0.0
725.365,27.85,1029.387,37.771,9.16,0.0,0.0,0.0,0.0,0.0
725.534,27.83,1029.303,37.791,9.26,0.0,0.0,0.0,0.0,0.0
725.646,27.85,1029.323,37.782,9.08,0.0,0.0,0.0,0.0,0.0
725.801,27.8,1029.242,37.777,9.11,0.0,0.0,0.0,0.0,0.0
725.844,27.78,1029.281,37.776,9.21,0.0,0.0,0.0,0.0,0.0
725.975,27.77,1029.226,37.775,9.33,0.0,0.0,0.0,0.0,0.0
726.077,27.79,1029.277,37.777,9.29,0.0,0.0,0.0,0.0,0.0
726.145,27.8,1029.267,37.79,9.31,0.0,0.0,0.0,0.0,0.0
726.325,27.81,1029.301,37.768,9.48,0.0,0.0,0.0,0.0,0.0
726.397,27.85,1029.33,37.737,9.4,0.0,0.0,0.0,0.0,0.0
726.512,27.77,1029.193,37.741,9.43,0.0,0.0,0.0,0.0,0.0
726.597,27.76,1029.192,37.82,9.49,0.0,0.0,0.0,0.0,0.0
726.7,27.77,1029.219,37.639,9.52,0.0,0.0,0.0,0.0,0.0
726.81,27.76,1029.208,37.717,9.59,0.0,0.0,0.0,0.0,0.0
726.895,27.75,1029.173,37.729,9.44,0.0,0.0,0.0,0.0,0.0
